Team,Pos,Games,GF,GA,xg,Passing Acc,Form
Arsenal,60.6,15,29,11,25.4,85,20
Aston Villa,53.2,15,31,18,25.9,83.7,18
Bournemouth,43.4,15,14,28,18.7,75.8,8
Brentford,48.2,15,19,18,26.4,77.6,11
Brighton,61.3,15,28,23,23.4,87.2,6
Burnley,50.9,15,15,32,13,80.5,2
Chelsea,57.2,15,22,20,27.8,85.4,3
Crystal Palace,45,15,13,18,16.7,78.2,-2
Everton,40.7,15,14,20,20.9,72.8,4
Fulham,48.8,15,13,22,16.4,80.6,0
Liverpool,57.4,15,28,11,29.2,83.9,19
Luton Town,36.1,15,12,23,14.1,68.2,3
Manchester City,61.7,15,33,13,28.3,88.2,20
Manchester Utd,53.1,15,16,16,20.2,80.7,15
Newcastle Utd,53.5,15,31,14,28.1,83,16
Nott'ham Forest,41.1,15,16,21,15.8,75.9,1
Sheffield Utd,38.6,15,11,34,10.8,71.4,-3
Tottenham,58.6,14,28,20,22,85.8,0
West Ham,43.6,14,23,23,19.6,77.1,7
Wolves,46.9,15,19,25,18.4,79.7,2